,Word,Mouth,Body,Head,Shoulder,Eyegaze,Eyebrow,Eyelids,Hand
48,access_nb,,,,,AD,RB,BB,"hamparbegin,hamflathand,hamthumboutmod,hamplus,hamfinger2345,hamthumboutmod,hamparend,hamparbegin,hamextfingero,hambetween,hamextfingerol,hampalml,hamplus,hamextfingeru,hampalmu,hambetween,hampalmur,hamparend,hamparbegin,hamfingerpad,hamringfinger,hampinky,hamplus,hamfingerside,hamringfinger,hamparend,hamtouch,hamshoulders,hammoveo,hamsmallmod,hamrepeatfromstart"
49,act,,,,,AD,RB,BB,"hamsymmlr,hamfingerstraightmod,hamlargemod,hamfist,hamthumboutmod,hamparbegin,hamextfingerul,hambetween,hamextfingero,hampalml,hamplus,hamextfingerur,hambetween,hamextfingero,hampalmr,hamparend,hamparbegin,hampalm,hamplus,hampalm,hamparend,hamclose,hamcircler,hamrepeatfromstart"
50,actor,{kt@z,,,,AD,RB,BB,"hamsymmlr,hamfingerstraightmod,hamlargemod,hamfist,hamthumboutmod,hamparbegin,hamextfingerul,hambetween,hamextfingero,hampalml,hamplus,hamextfingerur,hambetween,hamextfingero,hampalmr,hamparend,hamparbegin,hampalm,hamplus,hampalm,hamparend,hamclose,hamcircler,hamrepeatfromstart"
51,add,,,,,AD,RB,BB,"hamparbegin,hamflathand,hamthumboutmod,hamfingerhookmod,hambetween,hamflathand,hamplus,hamflathand,hamthumboutmod,hamparend,hamparbegin,hamextfingerl,hambetween,hamextfingerul,hampalmul,hambetween,hampalmd,hamplus,hamextfingero,hampalmur,hamparend,hamparbegin,hamshoulders,hamlrat,hamplus,hamstomach,hamparend,hamparbegin,hamreplace,hamflathand,hamthumboutmod,hambetween,hamflathand,hamextfingerd,hampalmd,hamparend,hamparbegin,hampalm,hamplus,hamindexfinger,hammiddlefinger,hamfingertip,hamparend,hamtouch"
52,address,,,,,AD,RB,BB,"hamfinger2345,hamthumboutmod,hammiddlefinger,hamfingerhookmod,hamextfingerul,hampalml,hamshoulders,hamlrat,hamclose,hammoved,hamsmallmod,hamarcl,hamrepeatfromstart"
53,adult,{dVlt,,,,AD,RB,BB,"hamsymmlr,hamfingerstraightmod,hamlargemod,hamflathand,hamthumboutmod,hamfingerstraightmod,hamextfingeru,hampalml,hamforehead,hamcirclel,hamsmallmod,hamrepeatfromstart"
54,advice,,,,,AD,RB,BB,"hamsymmpar,hamparbegin,hamfist,hamthumboutmod,hamplus,hamflathand,hamthumboutmod,hamparend,hamparbegin,hamextfingerol,hampalml,hamplus,hamextfingero,hampalmu,hamparend,hamparbegin,hampalm,hamplus,hampinkyside,hamparend,hamtouch,hammoveo"
55,afternoon,,,,,AD,RB,BB,"hamfinger23,hamthumbacrossmod,hamextfingeru,hampalmu,hamunderchin,hamparbegin,hammovedo,hamsmallmod,hamarcl,hamreplace,hamextfingero,hampalmd,hamparend"
56,again,,,,,AD,RB,BB,"hamfinger23spread,hamthumbacrossmod,hamextfingero,hambetween,hamextfingerol,hampalml,hamchest,hamclose,hamswinging"
57,again_again,,,,,AD,RB,BB,"hamfinger2,hamthumboutmod,hammiddlefinger,hamfingerbendmod,hamringfinger,hamfingerbendmod,hampinky,hamfingerbendmod,hamextfingeru,hampalmul,hamshouldertop,hamlrat,hamparbegin,hammovedl,hamlargemod,hamarcr,hamreplace,hamextfingerl,hampalmd,hamparend,hamrepeatfromstart,hamnomotion"
58,again2,,,,,AD,RB,BB,"hamfinger23spread,hamthumbacrossmod,hamextfingero,hambetween,hamextfingerol,hampalmul,hamchest,hamclose,hamswinging"
59,agree,,,,,AD,RB,BB,"hamsymmlr,hamfist,hamthumboutmod,hamextfingero,hampalml,hammovel,hamsmallmod"
60,aim,,,,,AD,RB,BB,"hamparbegin,hamflathand,hamthumboutmod,hamplus,hamfinger2,hamthumbacrossmod,hamparend,hamparbegin,hamextfingerol,hambetween,hamextfingerul,hampalml,hamplus,hamextfingeru,hampalmr,hamparend,hammoveur,hamparbegin,hamfingertip,hamthumb,hamplus,hamfingertip,hamindexfinger,hammiddlefinger,hamringfinger,hampinky,hamparend,hamtouch"
61,alarm,,,,,AD,RB,BB,"hamparbegin,hamfinger2,hamthumbacrossmod,hamplus,hamflathand,hamthumboutmod,hamparend,hamparbegin,hamextfingeru,hampalmdl,hambetween,hampalmd,hamplus,hamextfingeru,hampalmr,hambetween,hampalmdr,hamparend,hamparbegin,hampalm,hamplus,hamindexfinger,hamfingerpad,hamparend,hamclose,hammovel,hamsmallmod,hamrepeatfromstart"
62,alien,eni:,,,,AD,RB,BB,"hamsymmlr,hamfinger2,hamthumbacrossmod,hamextfingeru,hampalmd,hamheadtop,hamlrat,hambetween,hamhead,hamlrat,hamclose,hamnodding,hamrepeatfromstart"
63,all,O:l,,,,AD,RB,BB,"hamflathand,hamthumboutmod,hambetween,hamfinger2345,hamextfingeror,hampalml,hamchest,hamlrat,hamparbegin,hammovel,hamreplace,hamextfingerol,hampalml,hamlrat,hamchest,hamparend"
64,all_day,,,,,AD,RB,BB,"hamfinger2,hamthumbacrossmod,hamextfingeru,hampalmd,hamshoulders,hamclose,hamparbegin,hamreplace,hamextfingerol,hamstomach,hamparend"
65,all_of_us,D01,,,,AD,RB,BB,"hamsymmlr,hamfinger2,hamthumbacrossmod,hamextfingerdl,hampalml,hamparbegin,hamfingertip,hamindexfinger,hamplus,hamfingertip,hamindexfinger,hamparend,hamclose,hamchest,hambetween,hamstomach,hamtouch,hamparbegin,hammoveo,hamarcr,hamreplace,hamextfingerol,hambetween,hamextfingerdo,hampalmd,hamchest,hambetween,hamstomach,hamarmextended,hamparend"
66,all_over_norfolk,,,,,AD,RB,BB,"hamfinger2345,hamthumboutmod,hamextfingeru,hampalmd,hamshoulders,hamclose,hamcirclei,hamlargemod"
67,all_over_uk,,,,,AD,RB,BB,"hamparbegin,hamflathand,hamthumboutmod,hamplus,hamfinger2,hamthumbacrossmod,hamparend,hamparbegin,hamextfingeru,hampalmd,hamplus,hamextfingerur,hampalml,hamparend,hamparbegin,hamfingerbase,hamindexfinger,hamplus,hampalm,hamparend,hamclose,hamshoulders,hamcirclei"
68,all_over_uk,,,,,AD,RB,BB,"hamparbegin,hamflathand,hamthumboutmod,hambetween,hamfinger2345,hamthumboutmod,hamplus,hamfinger2,hamthumbacrossmod,hamparend,hamparbegin,hamextfingeru,hampalmd,hamplus,hamextfingerur,hampalml,hamparend,hamparbegin,hamfingerbase,hamindexfinger,hamplus,hampalm,hamparend,hamclose,hamshoulders,hamcirclei"
69,always,C02,,,,AD,RB,BB,"hamparbegin,hamfist,hamthumboutmod,hamplus,hamflathand,hamthumboutmod,hambetween,hamflathand,hamparend,hamparbegin,hamextfingerol,hampalmul,hambetween,hampalml,hamplus,hamextfingerr,hampalmur,hambetween,hampalmr,hamparend,hamparbegin,hampalm,hamplus,hamhandback,hamparend,hamtouch,hammover"
70,ấm,ấm,,,,AD,RB,BB,"hamsymmlr,hamfist,hamthumbacrossmod,hamparbegin,hamextfingerul,hampalml,hamplus,hamextfingerur,hambetween,hamextfingeri,hampalmdl,hamparend,hamparbegin,hamparbegin,hammoveul,hammoveul,hamsmallmod,hammovei,hamsmallmod,hammovei,hamsmallmod,hammovei,hammovel,hamsmallmod,hamparend,hamplus,hamparbegin,hammoveur,hammoveur,hamsmallmod,hammovei,hammovei,hamsmallmod,hammover,hamsmallmod,hamparend,hamparend"
71,ẵm,,,,,AD,RB,BB,"hamsymmlr,hamfinger2345,hamthumboutmod,hambetween,hamflathand,hamfingerstraightmod,hamthumboutmod,hamextfingerl,hampalml,hamparbegin,hamshoulders,hamplus,hamchest,hamparend,hammoveu,hamsmallmod,hammoveu,hamsmallmod"
72,ầm_ầm,,,,,AD,RB,BB,"hamceeall,hamextfingeru,hampalml,hamear,hamparbegin,hammover,hamfingerplay,hamparend,hamparbegin,hammovel,hamfingerplay,hamparend"
73,ấm_đun_nước,ấm_đun_nước,,,,AD,RB,BB,"hamfist,hamthumboutmod,hamextfingero,hampalmd,hamshoulders,hamlrat,hamparbegin,hammovel,hamarcu,hamreplace,hamextfingero,hampalmdr,hambetween,hampalmr,hamparend,hamreplace,hamfinger2345,hamfingerbendmod,hamthumbacrossmod,hambetween,hamfist,hamextfingero,hampalmu,hamreplace,hamceeall,hamrepeatfromstart"
74,ấm_trà,ấm_trà,,,,AD,RB,BB,"hamfist,hamthumboutmod,hamextfingero,hampalmd,hamshoulders,hamlrat,hamparbegin,hammovel,hamarcu,hamreplace,hamextfingero,hampalmdr,hambetween,hampalmr,hamparend"
75,ẩm_ướt,ẩm_ướt,,,,AD,RB,BB,"hamceeall,hamextfingero,hampalmu,hamchest,hamlrat,hamreplace,hamfist,hamrepeatfromstart,hamreplace,hamfinger2345,hamfingerhookmod,hambetween,hamfinger2345,hamthumboutmod,hammover,hamsmallmod,hamfast,hammovel,hamsmallmod,hamfast,hamrepeatfromstart"
76,ăn,ăn,,,,AD,RB,BB,"hamceeall,hamfingerstraightmod,hambetween,hamceeall,hamextfingeru,hampalmu,hamlips,hamseqbegin,hamclose,hamfingertip,hamindexfinger,hammiddlefinger,hamseqend,hammovei,hamsmallmod"
